,district,year,visitors
0,Adilabad,2019,775895
1,Bhadradri Kothagudem ,2019,12817737
2,Hyderabad,2019,13802362
3,Jagtial ,2019,3086115
4,Jangaon ,2019,328890
5,Jayashankar Bhoopalpally,2019,662530
6,Jogulamba Gadwal ,2019,2007995
7,Kamareddy ,2019,534
8,Karimnagar ,2019,77491
9,Khammam,2019,1413440
10,Komaram Bheem Asifabad,2019,19189
11,Mahabubabad ,2019,152885
12,Mahbubnagar,2019,2534815
13,Mancherial,2019,269810
14,Medak ,2019,5452570
15,Medchal ,2019,0
16,Mulugu,2019,1819800
17,Nagarkurnool ,2019,2093312
18,Nalgonda,2019,140918
19,Narayanapet,2019,389250
20,Nirmal,2019,3816778
21,Nizamabad,2019,46333
22,Peddapalli,2019,16581
23,Rajanna Sircilla ,2019,16832897
24,Ranga Reddy,2019,0
25,Sangareddy ,2019,4553160
26,Siddipet,2019,2987864
27,Suryapet,2019,0
28,Vikarabad,2019,0
29,Wanaparthy ,2019,298639
30,Warangal (Rural),2019,353500
31,Warangal (Urban),2019,1795230
32,Yadadri Bhongir,2019,4489374
